X,Y,Theta,FmPi_x,FmPi_y,Xi_x,Xi_y
0,0,4.54192617703124,0,0,0,0
-0.0129553582522611,-0.099157242259734,4.58247022560986,-0.0129553582522611,-0.099157242259734,-0,-0
-0.0505430197698896,-0.191824214270457,4.32704640268763,-0.0375876615176285,-0.0926669720107234,0,-0
-0.101122789853894,-0.278089426599931,4.18208255803164,-0.0505797700840049,-0.0862652123294738,-0,-0
-0.14814929645314,-0.366341948813583,4.22279787691593,-0.0470265065992458,-0.0882525222136517,-0,-0
-0.178933013922891,-0.46148585423449,4.39947000125237,-0.0307837174697511,-0.0951439054209072,-0,0
-0.214384781358397,-0.554990785578772,4.34999079268679,-0.0354517674355058,-0.0935049313442816,0,0
-0.248987841724661,-0.648813108153353,4.35905195431255,-0.0346030603662637,-0.0938223225745809,0,0
-0.292282625664441,-0.738955005646182,4.26462854068891,-0.0432947839397796,-0.0901418974928296,0,-0
-0.341937668650385,-0.825755793119937,4.19276886613366,-0.0496550429859447,-0.086800787473755,0,0
-0.388522369863884,-0.914242320980674,4.2277973885158,-0.046584701213499,-0.0884865278607372,0,0
-0.425450879464173,-1.00717393658431,4.33414935702061,-0.0369285096002884,-0.092931615603633,0,-0
-0.459286323511006,-1.10127581077475,4.36722133391872,-0.0338354440468329,-0.0941018741904413,-0,-0
-0.527037127584437,-1.17482734745077,3.96801970073702,-0.0677508040734319,-0.0735515366760168,-0,0
-0.567781372404598,-1.26615043606495,4.29273722700627,-0.0407442448201609,-0.0913230886141878,-0,-0
-0.613721589887411,-1.35497327331772,4.23506695255763,-0.0459402174828126,-0.088822837252769,-0,-0
-0.656343974619901,-1.445435046016,4.27207463632857,-0.0426223847324906,-0.0904617726982815,-0,-0
-0.712349070416768,-1.52828086211304,4.11794167225721,-0.0560050957968668,-0.0828458160970352,0,-0
-0.752265419215699,-1.61996883896149,4.30178466216293,-0.0399163487989305,-0.0916879768484512,-0,-0
-0.792231031932254,-1.71163535302301,4.30124729963427,-0.0399656127165549,-0.0916665140615173,-0,-0
-0.830802504909866,-1.80389716241529,4.31640660750322,-0.0385714729776122,-0.0922618093922796,0,-0
-0.893432888457256,-1.88185506808692,4.03558608225172,-0.0626303835473905,-0.07795790567163,0,-0
-0.968675410437821,-1.94772283627443,3.86065265159773,-0.075242521980565,-0.0658677681875149,-0,0
-1.05111789899196,-2.00431997472684,3.7432036884537,-0.0824424885541339,-0.0565971384524121,-0,-0
-1.13745040786793,-2.0547847932758,3.67056705930613,-0.0863325088759786,-0.0504648185489563,0,-0
-1.22829035033237,-2.09659513712822,3.5729491623679,-0.0908399424644371,-0.0418103438524219,-0,0
