Alpha_0__Dr_0_1__H_0_5,Alpha_0__Dr_0_5__H_0_5,Alpha_0__Dr_0__H_0_5,Alpha_0__Dr_100__H_0_5,Alpha_0__Dr_10__H_0_5,Alpha_0__Dr_1__H_0_5,Alpha_0__Dr_5__H_0_5
0,0,0,0,0,0,0
7.77053994716663e-17,8.61627786449365e-17,7.61453459969613e-17,7.79106323860379e-17,9.07471441382135e-17,7.52310956062642e-17,7.33486359272363e-17
3.88478420662702e-16,3.75625090227216e-16,3.55156064154149e-16,2.77143998732321e-16,3.61487060654577e-16,3.85271376934107e-16,3.7261395668234e-16
1.15873274607546e-15,1.16512962632793e-15,1.15373734808977e-15,1.07228615456465e-15,1.17824636682567e-15,1.16828179669437e-15,1.18789926978373e-15
5.0829612800565e-16,4.95945135858882e-16,4.35764713684608e-16,5.47259309830476e-16,6.68651235434123e-16,5.31367112161724e-16,5.17309788693965e-16
3.04835477119537e-16,3.43142688835813e-16,2.73169469397794e-16,4.90450686028698e-16,5.09953727222238e-16,3.5465976548281e-16,4.61328482852207e-16
2.17804521466548e-15,2.17825848993173e-15,2.31143064202254e-15,2.26668873768527e-15,2.26540405330538e-15,2.21740340405908e-15,2.18556831706105e-15
8.46143112067933e-16,8.37127827457089e-16,8.5647473486461e-16,8.99714812538843e-16,9.56669950629102e-16,8.83844111107425e-16,8.4354043457303e-16
5.86261066895749e-16,5.81434044503273e-16,6.56675330110891e-16,1.12642343098592e-15,1.03841416629523e-15,7.52825356776464e-16,9.14701134177375e-16
3.17667090350421e-15,3.19794050871106e-15,3.22218518228256e-15,3.31965090089553e-15,3.27976209776723e-15,3.42339397589725e-15,3.31634671537375e-15
3.39604573198086e-16,3.72733415032442e-16,3.02873461353684e-16,8.20990349960303e-16,7.84098868301674e-16,4.544294715684e-16,6.66366232986268e-16
3.69783746986454e-15,3.93785050031175e-15,4.01177617976993e-15,3.53173042435876e-15,3.61294458986647e-15,3.82794211895173e-15,3.57669224014456e-15
3.23937259243654e-15,4.11789276848534e-15,4.0072653361811e-15,4.53619117651164e-15,4.65219136967403e-15,3.87857698591653e-15,4.37450781859872e-15
3.80717426183385e-15,3.81331903836101e-15,3.11208949412941e-15,5.10362886422895e-15,4.93471104018066e-15,4.43748759730575e-15,4.55768705720493e-15
2.47158185359559e-15,2.49015717752994e-15,2.61355756628897e-15,1.86328483049888e-15,1.83271732483192e-15,2.44025802971044e-15,1.7713286136967e-15
2.67316873801104e-15,2.32499035701464e-15,2.72480433272189e-15,1.1748441710775e-15,9.56022282860986e-16,2.23085440366326e-15,1.17294466430388e-15
3.22265610672946e-15,3.18172667062613e-15,3.44777791357438e-15,1.93893712917655e-15,1.61405498612683e-15,2.90232978654904e-15,1.82757303500236e-15
5.28605475965072e-15,6.12903262924541e-15,4.64379595009753e-15,6.16311605012777e-15,6.58750924382345e-15,5.43538278024053e-15,6.28636330790196e-15
5.9956795631553e-15,5.66802514283581e-15,6.08825097957779e-15,7.0707003289524e-15,6.40486171735382e-15,5.66846224087792e-15,6.49781880592907e-15
6.09201405016422e-15,6.00298922979403e-15,5.30056457103022e-15,5.66607964766307e-15,5.12673273596067e-15,5.42726304716349e-15,5.84888100659448e-15
2.74270359158744e-15,2.77597037761615e-15,3.0209533880975e-15,1.57434724606842e-15,1.47908808668894e-15,2.95704528398651e-15,2.43858221994678e-15
7.31483221055531e-15,7.47086950140093e-15,7.14326388668362e-15,6.89598697454201e-15,6.71778175889274e-15,6.90883716363318e-15,7.4787581743382e-15
6.88088074177864e-15,7.11455712134412e-15,6.77733857311648e-15,7.66481087711354e-15,7.51853873206663e-15,7.25244748878008e-15,7.34309344533673e-15
