theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.78665467783284+0i,0+0i,0+0i,0+0i,0,0,0+0i,0+0i
3.78888043803602+0i,1.56089447464474+0i,-0.0797722264479762+0i,-0.0603025031614178+0i,0,-0,-0.0797722264479762+0i,-0.0603025031614178+0i
3.79110843671891+0i,1.56088175515384+0i,-0.159409901115777+0i,-0.120782588921157+0i,-0,-0,-0.0796376746678012+0i,-0.0604800857597396+0i
3.79333867611047+0i,1.56086904515803+0i,-0.238912492768201+0i,-0.181440135199819+0i,0,-0,-0.0795025916524234+0i,-0.060657546278662+0i
3.79557115844161+0i,1.56085634497086+0i,-0.318279469513316+0i,-0.242275018304337+0i,0,0,-0.0793669767451157+0i,-0.0608348831045172+0i
3.79780588594514+0i,1.56084365490893+0i,-0.397510298805603+0i,-0.303287112922179+0i,0,0,-0.0792308292922863+0i,-0.0610120946178427+0i
3.80004286085579+0i,1.56083097529191+0i,-0.47660444744911+0i,-0.364476292115553+0i,0,-0,-0.079094148643507+0i,-0.0611891791933739+0i
3.80228208541021+0i,1.56081830644257+0i,-0.555561381600651+0i,-0.42584242731559+0i,-0,-0,-0.078956934151541+0i,-0.061366135200037+0i
3.80452356184693+0i,1.56080564868683+0i,-0.634380566773022+0i,-0.487385388316532+0i,-0,-0,-0.0788191851723709+0i,-0.0615429610009424+0i
3.80676729240642+0i,1.56079300235371+0i,-0.713061467838249+0i,-0.54910504326991+0i,0,-0,-0.078680901065227+0i,-0.0617196549533774+0i
3.80901327933105+0i,1.56078036777544+0i,-0.791603549030865+0i,-0.611001258678709+0i,-0,-0,-0.0785420811926159+0i,-0.0618962154087997+0i
3.8112615248651+0i,1.56076774528744+0i,-0.870006273951213+0i,-0.67307389939154+0i,-0,0,-0.0784027249203487+0i,-0.0620726407128305+0i
3.81351203125473+0i,1.56075513522836+0i,-0.948269105568783+0i,-0.735322828596788+0i,0,0,-0.0782628316175695+0i,-0.0622489292052479+0i
3.81576480074805+0i,1.56074253794007+0i,-1.02639150622557+0i,-0.797747907816768+0i,0,0,-0.0781224006567844+0i,-0.0624250792199806+0i
3.81801983559503+0i,1.56072995376776+0i,-1.10437293763946+0i,-0.860348996901869+0i,-0,0,-0.0779814314138904+0i,-0.0626010890851007+0i
3.82027713804756+0i,1.56071738305987+0i,-1.18221286090766+0i,-0.923125954024687+0i,0,0,-0.0778399232682039+0i,-0.062776957122818+0i
3.82253671035944+0i,1.56070482616822+0i,-1.25991073651015+0i,-0.986078635674161+0i,-0,-0,-0.0776978756024903+0i,-0.0629526816494734+0i
3.82479855478636+0i,1.56069228344793+0i,-1.33746602431315+0i,-1.04920689664969+0i,-0,-0,-0.077555287802993+0i,-0.0631282609755324+0i
3.82706267358588+0i,1.56067975525752+0i,-1.41487818357261+0i,-1.11251059005527+0i,0,-0,-0.0774121592594628+0i,-0.0633036934055792+0i
3.82932906901751+0i,1.56066724195892+0i,-1.4921466729378+0i,-1.17598956729358+0i,0,0,-0.0772684893651871+0i,-0.0634789772383107+0i
3.83159774334261+0i,1.56065474391749+0i,-1.56927095045482+0i,-1.23964367806011+0i,-0,0,-0.07712427751702+0i,-0.0636541107665301+0i
3.83386869882445+0i,1.56064226150203+0i,-1.64625047357023+0i,-1.30347277033725+0i,0,-0,-0.0769795231154116+0i,-0.0638290922771413+0i
3.83614193772819+0i,1.56062979508482+0i,-1.72308469913466+0i,-1.3674766903884+0i,0,0,-0.076834225564438+0i,-0.0640039200511427+0i
3.83841746232088+0i,1.56061734504169+0i,-1.7997730834065+0i,-1.43165528275202+0i,-0,-0,-0.0766883842718312+0i,-0.0641785923636219+0i
3.84069527487145+0i,1.56060491175195+0i,-1.87631508205551+0i,-1.49600839023577+0i,0,-0,-0.0765419986490095+0i,-0.0643531074837497+0i
3.84297537765072+0i,1.56059249559851+0i,-1.95271015016661+0i,-1.56053585391054+0i,-0,0,-0.076395068111107+0i,-0.0645274636747744+0i
3.8452577729314+0i,1.56058009696786+0i,-2.02895774224362+0i,-1.62523751310456+0i,-0,-0,-0.0762475920770048+0i,-0.0647016591940166+0i
3.84754246298808+0i,1.56056771625011+0i,-2.10505731221298+0i,-1.69011320539742+0i,-0,-0,-0.076099569969361+0i,-0.0648756922928637+0i
3.84982945009723+0i,1.56055535383901+0i,-2.18100831342762+0i,-1.75516276661419+0i,-0,-0,-0.0759510012146412+0i,-0.0650495612167644+0i
3.8521187365372+0i,1.56054301013199+0i,-2.25681019867077+0i,-1.82038603081941+0i,0,-0,-0.0758018852431496+0i,-0.0652232642052234+0i
3.85441032458821+0i,1.56053068553017+0i,-2.33246242015983+0i,-1.88578283031121+0i,0,-0,-0.0756522214890596+0i,-0.0653967994917968+0i
3.85670421653236+0i,1.56051838043841+0i,-2.40796442955027+0i,-1.95135299561529+0i,-0,0,-0.0755020093904448+0i,-0.0655701653040861+0i
3.85900041465362+0i,1.5605060952653+0i,-2.48331567793958+0i,-2.01709635547903+0i,-0,-0,-0.0753512483893102+0i,-0.0657433598637343+0i
3.86129892123785+0i,1.56049383042325+0i,-2.55851561587121+0i,-2.08301273686545+0i,-0,0,-0.0751999379316233+0i,-0.0659163813864202+0i
3.86359973857276+0i,1.56048158632846+0i,-2.63356369333855+0i,-2.1491019649473+0i,0,-0,-0.0750480774673456+0i,-0.0660892280818538+0i
3.86590286894793+0i,1.56046936340098+0i,-2.70845935978902+0i,-2.21536386310107+0i,0,-0,-0.074895666450464+0i,-0.0662618981537719+0i
3.86820831465482+0i,1.56045716206471+0i,-2.78320206412804+0i,-2.28179825290101+0i,-0,-0,-0.0747427043390224+0i,-0.0664343897999333+0i
3.87051607798672+0i,1.56044498274746+0i,-2.85779125472319+0i,-2.34840495411312+0i,-0,0,-0.0745891905951535+0i,-0.0666067012121142+0i
3.87282616123883+0i,1.56043282588098+0i,-2.9322263794083+0i,-2.41518378468923+0i,0,-0,-0.0744351246851108+0i,-0.0667788305761041+0i
3.87513856670817+0i,1.56042069190095+0i,-3.0065068854876+0i,-2.48213456076093+0i,0,0,-0.0742805060793+0i,-0.0669507760717011+0i
3.87745329669363+0i,1.56040858124705+0i,-3.08063221973992+0i,-2.54925709663363+0i,-0,-0,-0.0741253342523122+0i,-0.0671225358727081+0i
3.87977035349596+0i,1.56039649436296+0i,-3.15460182842287+0i,-2.61655120478056+0i,-0,0,-0.0739696086829552+0i,-0.0672941081469283+0i
3.88208973941776+0i,1.56038443169641+0i,-3.22841515727716+0i,-2.68401669583672+0i,-0,-0,-0.0738133288542861+0i,-0.0674654910561616+0i
3.88441145676348+0i,1.56037239369921+0i,-3.3020716515308+0i,-2.75165337859292+0i,0,0,-0.0736564942536441+0i,-0.0676366827562004+0i
3.88673550783941+0i,1.56036038082725+0i,-3.37557075590348+0i,-2.81946105998975+0i,-0,-0,-0.0734991043726831+0i,-0.0678076813968258+0i
3.88906189495371+0i,1.56034839354057+0i,-3.44891191461089+0i,-2.88743954511155+0i,-0,0,-0.0733411587074041+0i,-0.0679784851218043+0i
3.89139062041636+0i,1.56033643230335+0i,-3.52209457136908+0i,-2.95558863718044+0i,0,0,-0.0731826567581885+0i,-0.0681490920688836+0i
3.8937216865392+0i,1.56032449758398+0i,-3.59511816939891+0i,-3.02390813755023+0i,0,0,-0.0730235980298309+0i,-0.0683195003697896+0i
3.89605509563588+0i,1.56031258985505+0i,-3.66798215143048+0i,-3.09239784570045+0i,0,-0,-0.0728639820315724+0i,-0.0684897081502228+0i
3.89839085002192+0i,1.56030070959342+0i,-3.74068595970761+0i,-3.16105755923031+0i,-0,0,-0.0727038082771339+0i,-0.068659713529855+0i
3.90072895201466+0i,1.56028885728021+0i,-3.81322903599236+0i,-3.22988707385263+0i,0,-0,-0.0725430762847492+0i,-0.0688295146223265+0i
3.90306940393328+0i,1.56027703340087+0i,-3.88561082156956+0i,-3.29888618338787+0i,-0,-0,-0.0723817855771991+0i,-0.0689991095352424+0i
3.90541220809877+0i,1.56026523844516+0i,-3.95783075725141+0i,-3.36805467975804+0i,-0,0,-0.0722199356818445+0i,-0.0691684963701702+0i
3.90775736683396+0i,1.56025347290725+0i,-4.02988828338207+0i,-3.43739235298068+0i,-0,0,-0.0720575261306607+0i,-0.0693376732226367+0i
3.91010488246351+0i,1.56024173728568+0i,-4.10178283984234+0i,-3.50689899116281+0i,0,0,-0.0718945564602709+0i,-0.0695066381821256+0i
3.91245475731389+0i,1.56023003208344+0i,-4.17351386605432+0i,-3.57657438049488+0i,0,-0,-0.0717310262119806+0i,-0.0696753893320744+0i
3.91480699371339+0i,1.56021835780796+0i,-4.24508080098613+0i,-3.64641830524475+0i,-0,0,-0.0715669349318118+0i,-0.0698439247498722+0i
3.91716159399213+0i,1.56020671497119+0i,-4.31648308315667+0i,-3.71643054775161+0i,-0,-0,-0.0714022821705371+0i,-0.0700122425068574+0i
3.91951856048204+0i,1.5601951040896+0i,-4.38772015064038+0i,-3.78661088841993+0i,0,-0,-0.071237067483714+0i,-0.0701803406683152+0i
3.92187789551683+0i,1.56018352568419+0i,-4.4587914410721+0i,-3.8569591057134+0i,0,-0,-0.0710712904317203+0i,-0.0703482172934757+0i
3.92423960143207+0i,1.56017198028057+0i,-4.52969639165189+0i,-3.92747497614891+0i,-0,-0,-0.0709049505797878+0i,-0.0705158704355115+0i
3.92660368056509+0i,1.56016046840896+0i,-4.60043443914993+0i,-3.99815827429045+0i,-0,-0,-0.0707380474980379+0i,-0.0706832981415365+0i
3.92897013525505+0i,1.56014899060424+0i,-4.67100501991144+0i,-4.06900877274305+0i,0,0,-0.0705705807615161+0i,-0.0708504984526032+0i
3.9313389678429+0i,1.56013754740596+0i,-4.74140756986167+0i,-4.14002624214675+0i,0,-0,-0.0704025499502276+0i,-0.0710174694037017+0i
3.93371018067139+0i,1.56012613935836+0i,-4.81164152451084+0i,-4.21121045117051+0i,0,0,-0.0702339546491719+0i,-0.0711842090237579+0i
3.93133658525773+0i,1.56011476701047+0i,-4.88204424366604+0i,-4.28222775283394+0i,0,-0,-0.0704027191551976+0i,-0.0710173016634282+0i
3.93370781852331+0i,1.56010331967386+0i,-4.95227836646266+0i,-4.3534117959545+0i,-0,-0,-0.0702341227966185+0i,-0.0711840431205584+0i
3.93133420260333+0i,1.56009189854414+0i,-5.02268125482734+0i,-4.42442892987238+0i,0,0,-0.0704028883646837+0i,-0.0710171339178784+0i
3.93370545640376+0i,1.56008040217212+0i,-5.09291554576898+0i,-4.49561280709134+0i,-0,-0,-0.0702342909416423+0i,-0.0711838772189654+0i
3.93133181987931+0i,1.56006893194641+0i,-5.1633186033477+0i,-4.56662977325837+0i,-0,0,-0.0704030575787152+0i,-0.0710169661670232+0i
3.93370309431296+0i,1.56005738622283+0i,-5.23355306243193+0i,-4.63781348457736+0i,0,-0,-0.0702344590842279+0i,-0.0711837113189943+0i
3.93132943708523+0i,1.56004586658426+0i,-5.30395628922925+0i,-4.70883028298819+0i,-0,-0,-0.0704032267973213+0i,-0.0710167984108333+0i
3.93370073225113+0i,1.56003427119026+0i,-5.37419091645361+0i,-4.78001382840885+0i,0,-0,-0.0702346272243597+0i,-0.0711835454206605+0i
3.9313270542207+0i,1.56002270181923+0i,-5.44459431247414+0i,-4.85103045905813+0i,0,-0,-0.0704033960205319+0i,-0.0710166306492793+0i
3.93369837021848+0i,1.5600110564332+0i,-5.51482910783616+0i,-4.92221383858211+0i,-0,-0,-0.0702347953620218+0i,-0.0711833795239797+0i
3.93132467128527+0i,1.55999943700733+0i,-5.58523267308454+0i,-4.99323030146445+0i,0,0,-0.0704035652483768+0i,-0.0710164628823313+0i
3.93369600821525+0i,1.55998774130487+0i,-5.65546763658174+0i,-5.06441351509341+0i,-0,-0,-0.0702349634971983+0i,-0.0711832136289675+0i
3.93132228827854+0i,1.559976071499+0i,-5.72587137106262+0i,-5.13542981020337+0i,-0,-0,-0.0704037344808864+0i,-0.0710162951099595+0i
3.93369364624166+0i,1.5599643251529+0i,-5.7961065026925+0i,-5.20661285793901+0i,-0,-0,-0.070235131629873+0i,-0.07118304773564+0i
3.93131990520006+0i,1.55995260463907+0i,-5.86651040641059+0i,-5.27762898527115+0i,-0,0,-0.0704039037180908+0i,-0.0710161273321335+0i
3.93369128429794+0i,1.55994080731926+0i,-5.93674570617062+0i,-5.34881186711516+0i,-0,-0,-0.0702352997600298+0i,-0.0711828818440133+0i
3.93131752204941+0i,1.55992903576662+0i,-6.00714977913064+0i,-5.41982782666398+0i,-0,-0,-0.070404072960021+0i,-0.0710159595488229+0i
3.93368892238432+0i,1.55991718714019+0i,-6.07738524701829+0i,-5.49101054261808+0i,-0,0,-0.0702354678876522+0i,-0.0711827159541035+0i
3.93131513882615+0i,1.55990536421502+0i,-6.147789489225+0i,-5.56202633437808+0i,-0,-0,-0.0704042422067077+0i,-0.0710157917599969+0i
3.93368656050103+0i,1.55989346394613+0i,-6.21802512523772+0i,-5.63320888444401+0i,-0,-0,-0.0702356360127236+0i,-0.071182550065927+0i
3.93131275552984+0i,1.5598815893118+0i,-6.2884295366959+0i,-5.70422450840963+0i,-0,0,-0.0704044114581821+0i,-0.0710156239656246+0i
3.93368419864831+0i,1.55986963706167+0i,-6.35866534083113+0i,-5.77540689258913+0i,0,0,-0.0702358041352273+0i,-0.0711823841795004+0i
3.93131037216004+0i,1.5598577103786+0i,-6.42906992154561+0i,-5.84642234875481+0i,-0,0,-0.0704045807144758+0i,-0.0710154561656747+0i
3.93368183682639+0i,1.55984570580549+0i,-6.49930589380075+0i,-5.91760456704965+0i,0,-0,-0.0702359722551463+0i,-0.0711822182948404+0i
3.9313079887163+0i,1.55983372673112+0i,-6.56971064377637+0i,-5.98861985540977+0i,0,-0,-0.0704047499756203+0i,-0.0710152883601158+0i
3.93367947503552+0i,1.55982166949029+0i,-6.63994678414884+0i,-6.05980190782173+0i,0,0,-0.0702361403724637+0i,-0.0711820524119639+0i
3.93130560519817+0i,1.55980963767904+0i,-6.71035170339048+0i,-6.13081702837064+0i,0,0,-0.0704049192416476+0i,-0.071015120548916+0i
3.93367711327594+0i,1.5597975274227+0i,-6.78058801187765+0i,-6.20199891490153+0i,0,0,-0.070236308487162+0i,-0.071181886530888+0i
3.93130322160519+0i,1.55978544252595+0i,-6.85099310039024+0i,-6.27301386763358+0i,0,0,-0.0704050885125901+0i,-0.0710149527320434+0i
3.93367475154789+0i,1.55977327890326+0i,-6.92122957698946+0i,-6.34419558828521+0i,-0,-0,-0.0702364765992241+0i,-0.0711817206516297+0i
3.93130083793692+0i,1.55976114056931+0i,-6.99163483477794+0i,-6.41521037319467+0i,-0,0,-0.07040525778848+0i,-0.0710147849094657+0i
3.93367238985163+0i,1.55974892322631+0i,-7.06187147948657+0i,-6.48639192796888+0i,-0,0,-0.0702366447086323+0i,-0.0711815547742065+0i
3.93129845419288+0i,1.55973673110036+0i,-7.13227690655592+0i,-6.55740654505003+0i,0,0,-0.0704054270693503+0i,-0.0710146170811502+0i
3.93367002818739+0i,1.55972445967996+0i,-7.20251371937129+0i,-6.62858793394866+0i,-0,-0,-0.0702368128153687+0i,-0.071181388898636+0i
3.9312960703726+0i,1.55971221340403+0i,-7.27291931572653+0i,-6.69960238319573+0i,-0,-0,-0.070405596355234+0i,-0.0710144492470642+0i
3.93366766655543+0i,1.55969988754598+0i,-7.34315629664594+0i,-6.77078360622066+0i,0,-0,-0.0702369809194156+0i,-0.0711812230249358+0i
