Alpha_0__Dr_0_1__H_0_5,Alpha_0__Dr_0_5__H_0_5,Alpha_0__Dr_0__H_0_5,Alpha_0__Dr_100__H_0_5,Alpha_0__Dr_10__H_0_5,Alpha_0__Dr_1__H_0_5,Alpha_0__Dr_5__H_0_5
0,0,0,0,0,0,0
0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.299999999999999,0.299999999999999,0.299999999999999,0.299999999999999,0.299999999999999,0.299999999999999,0.299999999999999
0.4,0.4,0.4,0.4,0.400000000000001,0.4,0.4
0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.599999999999998,0.599999999999998,0.599999999999998,0.599999999999998,0.599999999999998,0.599999999999998,0.599999999999998
0.700000000000001,0.700000000000001,0.700000000000001,0.700000000000001,0.700000000000001,0.700000000000001,0.700000000000001
0.800000000000001,0.800000000000001,0.800000000000001,0.800000000000001,0.800000000000001,0.800000000000001,0.800000000000001
0.900000000000003,0.900000000000003,0.900000000000003,0.900000000000003,0.900000000000003,0.900000000000003,0.900000000000003
1,1,1,1,1,1,1
1.1,1.1,1.1,1.1,1.1,1.1,1.1
1.2,1.2,1.2,1.2,1.2,1.2,1.2
1.3,1.3,1.3,1.3,1.3,1.3,1.3
1.4,1.4,1.4,1.4,1.4,1.4,1.4
1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.6,1.6,1.6,1.6,1.6,1.6,1.6
1.7,1.69999999999999,1.7,1.69999999999999,1.69999999999999,1.7,1.69999999999999
1.80000000000001,1.8,1.80000000000001,1.80000000000001,1.80000000000001,1.80000000000001,1.80000000000001
1.89999999999999,1.89999999999999,1.9,1.89999999999999,1.9,1.9,1.89999999999999
2,2,2,2,2,2,2
2.10000000000001,2.10000000000001,2.10000000000001,2.10000000000001,2.10000000000001,2.10000000000001,2.10000000000001
2.19999999999999,2.19999999999999,2.19999999999999,2.19999999999999,2.19999999999999,2.19999999999999,2.19999999999999
2.30000000000001,2.30000000000001,2.30000000000001,2.30000000000001,2.30000000000001,2.30000000000001,2.30000000000001
2.39999999999999,2.39999999999999,2.39999999999999,2.39999999999999,2.39999999999999,2.39999999999999,2.39999999999999
2.5,2.5,2.5,2.5,2.5,2.5,2.5
2.60000000000001,2.60000000000001,2.60000000000001,2.60000000000001,2.60000000000001,2.60000000000001,2.60000000000001
2.7,2.7,2.7,2.7,2.7,2.7,2.69999999999999
2.8,2.8,2.8,2.8,2.8,2.8,2.8
2.89999999999999,2.89999999999999,2.89999999999999,2.89999999999999,2.89999999999999,2.89999999999999,2.89999999999999
3,3,3,3,3,3,3
3.10000000000001,3.10000000000001,3.10000000000001,3.10000000000001,3.10000000000001,3.10000000000001,3.10000000000001
3.2,3.2,3.2,3.2,3.2,3.2,3.2
3.3,3.3,3.29999999999999,3.3,3.3,3.29999999999999,3.3
3.39999999999999,3.39999999999999,3.39999999999999,3.39999999999999,3.39999999999999,3.39999999999999,3.39999999999999
3.5,3.5,3.5,3.5,3.5,3.5,3.5
3.60000000000001,3.60000000000001,3.60000000000001,3.60000000000001,3.60000000000001,3.60000000000001,3.60000000000001
3.70000000000001,3.70000000000001,3.70000000000001,3.70000000000001,3.70000000000001,3.70000000000001,3.70000000000001
3.79999999999999,3.79999999999999,3.79999999999999,3.79999999999999,3.79999999999999,3.79999999999999,3.79999999999999
3.89999999999999,3.89999999999999,3.89999999999999,3.89999999999999,3.89999999999999,3.89999999999999,3.89999999999999
4,4,4,4,4,4,4
4.10000000000001,4.10000000000001,4.10000000000001,4.10000000000001,4.10000000000001,4.10000000000001,4.10000000000001
4.20000000000001,4.20000000000001,4.20000000000001,4.20000000000001,4.20000000000001,4.20000000000001,4.20000000000001
4.29999999999999,4.29999999999999,4.29999999999999,4.29999999999999,4.29999999999999,4.29999999999999,4.29999999999999
4.39999999999999,4.39999999999999,4.39999999999999,4.39999999999999,4.39999999999999,4.39999999999999,4.39999999999999
4.5,4.5,4.5,4.5,4.5,4.5,4.5
4.60000000000001,4.60000000000001,4.60000000000001,4.60000000000002,4.60000000000001,4.60000000000001,4.60000000000001
4.70000000000002,4.70000000000002,4.70000000000002,4.70000000000002,4.70000000000002,4.70000000000002,4.70000000000001
4.79999999999998,4.79999999999998,4.79999999999998,4.79999999999998,4.79999999999998,4.79999999999998,4.79999999999999
4.89999999999999,4.89999999999999,4.89999999999999,4.89999999999998,4.89999999999999,4.89999999999999,4.89999999999998
5,5,5,5,5,5,5
5.10000000000002,5.10000000000002,5.10000000000001,5.10000000000002,5.10000000000001,5.10000000000001,5.10000000000001
5.20000000000002,5.20000000000002,5.20000000000002,5.20000000000002,5.20000000000002,5.20000000000002,5.20000000000002
5.29999999999998,5.29999999999998,5.29999999999998,5.29999999999998,5.29999999999998,5.29999999999998,5.29999999999998
5.39999999999999,5.39999999999999,5.39999999999999,5.39999999999999,5.39999999999999,5.39999999999999,5.39999999999999
5.5,5.5,5.5,5.5,5.5,5.5,5.5
5.60000000000001,5.60000000000001,5.60000000000001,5.60000000000001,5.60000000000001,5.60000000000001,5.6
5.70000000000002,5.70000000000002,5.70000000000002,5.70000000000002,5.70000000000002,5.70000000000002,5.70000000000002
5.79999999999998,5.79999999999998,5.79999999999998,5.79999999999998,5.79999999999998,5.79999999999998,5.79999999999998
5.9,5.9,5.9,5.9,5.9,5.9,5.9
6,6,6,6,6,6,6
6.1,6.1,6.1,6.1,6.1,6.1,6.1
6.20000000000002,6.20000000000002,6.20000000000002,6.20000000000002,6.20000000000002,6.20000000000002,6.20000000000002
6.29999999999998,6.29999999999998,6.29999999999998,6.29999999999998,6.29999999999998,6.29999999999998,6.29999999999998
6.40000000000001,6.40000000000001,6.40000000000001,6.40000000000001,6.40000000000001,6.40000000000001,6.40000000000001
6.5,6.5,6.5,6.5,6.5,6.5,6.5
6.59999999999999,6.59999999999999,6.59999999999999,6.59999999999999,6.59999999999999,6.59999999999999,6.59999999999999
6.70000000000003,6.70000000000003,6.70000000000002,6.70000000000003,6.70000000000002,6.70000000000002,6.70000000000002
6.79999999999997,6.79999999999998,6.79999999999998,6.79999999999998,6.79999999999998,6.79999999999998,6.79999999999998
6.90000000000001,6.90000000000001,6.90000000000001,6.90000000000001,6.90000000000001,6.90000000000001,6.90000000000001
7,7,7,7,7,7,7
7.09999999999999,7.09999999999999,7.09999999999998,7.09999999999999,7.09999999999999,7.09999999999999,7.09999999999999
7.20000000000003,7.20000000000003,7.20000000000002,7.20000000000003,7.20000000000003,7.20000000000003,7.20000000000002
7.29999999999997,7.29999999999997,7.29999999999998,7.29999999999998,7.29999999999998,7.29999999999997,7.29999999999998
7.40000000000002,7.40000000000002,7.40000000000002,7.40000000000002,7.40000000000002,7.40000000000002,7.40000000000002
7.5,7.5,7.5,7.5,7.5,7.5,7.5
7.59999999999998,7.59999999999998,7.59999999999998,7.59999999999998,7.59999999999998,7.59999999999998,7.59999999999998
7.70000000000003,7.70000000000003,7.70000000000002,7.70000000000003,7.70000000000003,7.70000000000003,7.70000000000003
7.79999999999997,7.79999999999997,7.79999999999998,7.79999999999997,7.79999999999997,7.79999999999997,7.79999999999998
7.90000000000002,7.90000000000002,7.90000000000002,7.90000000000002,7.90000000000002,7.90000000000002,7.90000000000002
8,8,8,8,8,8,8
8.09999999999998,8.09999999999998,8.09999999999998,8.09999999999997,8.09999999999998,8.09999999999998,8.09999999999998
8.20000000000003,8.20000000000003,8.20000000000002,8.20000000000003,8.20000000000003,8.20000000000002,8.20000000000002
8.29999999999997,8.29999999999997,8.29999999999998,8.29999999999997,8.29999999999997,8.29999999999998,8.29999999999997
8.40000000000003,8.40000000000003,8.40000000000003,8.40000000000003,8.40000000000003,8.40000000000003,8.40000000000003
8.5,8.5,8.5,8.5,8.5,8.5,8.5
8.59999999999997,8.59999999999997,8.59999999999997,8.59999999999997,8.59999999999998,8.59999999999997,8.59999999999997
