theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.75841123919936+0i,0+0i,0+0i,0+0i,0,0,0+0i,0+0i
3.77549681790741+0i,1.56093792627982+0i,-0.0805721238042109+0i,-0.0592294932080202+0i,0,0,-0.0805721238042109+0i,-0.0592294932080202+0i
3.7873488201031+0i,1.56090114468892+0i,-0.160436617044359+0i,-0.119409745114226+0i,-0,0,-0.0798644932401481+0i,-0.0601802519062054+0i
3.81151633405682+0i,1.56087427697361+0i,-0.238823522740216+0i,-0.181502361546688+0i,-0,0,-0.0783869056958567+0i,-0.0620926164324621+0i
3.85269202143721+0i,1.56083361955409+0i,-0.31458800401656+0i,-0.246769071107738+0i,0,-0,-0.0757644812763438+0i,-0.0652667095610507+0i
3.90758267542379+0i,1.56078436734718+0i,-0.386657641743579+0i,-0.316094155441594+0i,0,0,-0.0720696377270192+0i,-0.0693250843338557+0i
3.94565913054594+0i,1.56074821054715+0i,-0.456036026236469+0i,-0.388112484810975+0i,-0,0,-0.0693783844928901+0i,-0.0720183293693814+0i
3.9198826403428+0i,1.56073777299116+0i,-0.527247537750704+0i,-0.458318756808981+0i,-0,0,-0.0712115115142353+0i,-0.0702062719980055+0i
3.94389308836759+0i,1.56072626942333+0i,-0.596753001392494+0i,-0.53021444877964+0i,0,-0,-0.0695054636417899+0i,-0.0718956919706586+0i
3.93037536466739+0i,1.5607171887166+0i,-0.66722395130569+0i,-0.601164045102183+0i,0,-0,-0.0704709499131961+0i,-0.070949596322543+0i
3.90601702306111+0i,1.56070569923597+0i,-0.739402039639491+0i,-0.670376208516412+0i,-0,0,-0.0721780883338009+0i,-0.0692121634142297+0i
3.93327658143659+0i,1.5606977934889+0i,-0.809666853103975+0i,-0.741529957460521+0i,0,0,-0.0702648134644839+0i,-0.0711537489441089+0i
3.92388688129718+0i,1.560685423079+0i,-0.880596671639884+0i,-0.812020813906326+0i,-0,-0,-0.0709298185359086+0i,-0.0704908564458049+0i
3.93656042039059+0i,1.56067508464492+0i,-0.950627449218386+0i,-0.88340491712091+0i,-0,-0,-0.0700307775785026+0i,-0.0713841032145834+0i
3.88968945685247+0i,1.5606651834369+0i,-1.02392593277927+0i,-0.951429414970392+0i,-0,-0,-0.0732984835608883+0i,-0.068024497849482+0i
3.89282641102924+0i,1.5606617499975+0i,-1.0970106663116+0i,-1.01968351173029+0i,0,-0,-0.073084733532323+0i,-0.0682540967598967+0i
3.92479470789242+0i,1.56065032535361+0i,-1.16787646215372+0i,-1.09023873109542+0i,-0,0,-0.0708657958421238+0i,-0.0705552193651358+0i
